Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Day_of_Journey,Travelling_time,Price
0,0,0,170,0,0,6,3,3897
1,1,1,445,2,0,5,0,7662
2,2,2,1140,2,0,4,1,13882
0,1,1,325,1,0,3,3,6218
0,0,0,285,1,0,3,2,13302
3,1,1,145,0,0,0,1,3873
2,0,0,930,1,1,1,3,11087
2,0,0,1265,1,0,3,1,22270
2,0,0,1530,1,1,1,1,11087
4,2,2,470,1,0,0,1,8625
1,2,2,795,1,0,6,1,8907
0,1,1,155,0,0,3,3,4174
1,3,3,135,0,0,0,1,4667
2,1,1,730,1,1,3,3,9663
0,1,1,155,0,0,2,2,4804
1,2,2,1595,2,0,6,2,14011
3,2,2,270,1,0,0,1,5830
2,2,2,1355,1,1,4,2,10262
1,2,2,1380,2,0,4,3,13381
2,2,2,1235,1,1,0,2,12898
5,2,2,310,1,0,0,2,19495
1,0,0,920,1,0,3,3,6955
0,0,0,170,0,0,0,0,3943
0,0,0,175,0,0,5,3,4823
2,1,1,800,1,1,2,3,7757
2,2,2,910,2,0,4,3,13292
0,2,2,345,1,0,6,3,8238
5,2,2,355,1,0,2,1,7682
6,0,0,170,0,0,1,1,4668
6,3,3,135,0,0,5,1,3687
6,3,3,135,0,0,1,1,3687
1,1,1,805,2,0,5,1,13227
0,0,0,170,0,0,1,0,4423
2,2,2,1320,2,1,5,2,10919
2,2,2,330,1,1,5,1,12373
0,2,2,625,1,0,3,1,5894
3,1,1,315,1,0,1,2,4649
1,1,1,150,0,0,5,2,6245
2,0,0,375,1,0,0,1,19225
2,2,2,715,1,0,2,1,14924
4,2,2,665,1,0,1,1,9646
1,0,0,510,1,0,4,1,8714
2,2,2,1325,1,1,5,3,12373
7,0,0,165,0,0,2,1,3383
4,2,2,720,1,0,3,1,13062
3,0,0,170,0,2,6,0,3527
0,0,0,170,0,0,0,0,3943
1,3,3,135,0,0,1,1,4667
1,1,1,965,1,0,2,3,6117
2,2,2,1195,2,1,3,3,11150
2,2,2,195,0,1,1,1,7202
2,1,1,1520,1,0,5,1,12121
0,0,0,170,0,0,6,3,4377
0,0,0,180,0,0,1,3,3943
7,0,0,170,0,0,0,3,4483
2,1,1,975,1,0,6,3,14231
1,0,0,905,2,0,3,1,17345
6,3,3,135,0,0,0,1,7414
4,2,2,390,1,0,2,3,8073
6,4,4,1505,1,0,0,2,12395
1,1,1,745,1,0,3,1,8366
1,2,2,1640,1,0,0,1,5117
4,2,2,615,1,0,2,1,12524
0,2,2,630,1,0,2,2,7191
6,3,3,135,0,0,4,1,3687
0,2,2,625,1,0,0,1,5894
6,0,0,170,0,0,2,1,5403
1,4,4,90,0,0,2,2,3625
1,2,2,800,2,0,1,0,10861
0,3,3,135,0,0,1,2,6297
2,4,4,85,0,0,6,1,5678
2,0,0,1590,1,1,1,0,9134
4,2,2,440,1,1,0,1,10791
2,2,2,810,2,0,0,3,12819
0,2,2,300,1,0,3,0,6893
6,0,0,165,0,0,1,1,7240
5,0,0,170,0,0,0,1,3898
0,4,4,90,0,0,0,1,4049
2,2,2,1145,1,1,5,2,10262
3,3,3,135,0,2,3,1,3332
2,1,1,890,1,1,4,3,10844
2,0,0,160,0,0,6,3,7229
2,1,1,1330,1,0,2,1,13941
0,2,2,575,1,0,3,1,5894
4,2,2,600,1,0,5,1,10197
2,0,0,1280,1,1,0,2,13712
0,2,2,325,1,0,0,0,5636
2,2,2,1125,2,0,3,1,13014
2,1,1,740,1,1,4,1,7064
2,1,1,1080,1,1,4,3,10703
4,2,2,555,1,0,0,2,9646
4,2,2,665,1,0,0,0,17057
2,0,0,1050,1,0,1,2,13817
1,2,2,800,2,0,0,0,13748
1,1,1,155,0,0,6,3,4880
0,3,3,145,0,0,4,0,3540
3,0,0,160,0,2,2,0,3257
2,0,0,180,0,1,2,3,6478
2,4,4,85,0,0,1,1,8040
2,2,2,995,2,0,4,3,14300
2,1,1,740,1,0,2,1,14781
2,1,1,735,1,0,4,3,14939
2,2,2,450,1,1,0,3,10262
1,1,1,1440,1,0,3,2,6528
1,0,0,165,0,0,5,1,6121
2,2,2,535,2,1,5,3,13029
4,2,2,430,1,0,2,1,11421
4,2,2,870,1,0,2,0,7574
1,2,2,1820,2,0,3,2,11596
2,2,2,1195,2,0,4,3,15129
2,0,0,900,1,0,0,2,13555
0,0,0,175,0,0,2,3,5780
6,1,1,765,1,0,3,3,9397
2,2,2,610,1,0,0,3,17024
5,2,2,355,1,0,3,1,5281
4,2,2,925,1,0,5,1,10348
1,2,2,965,1,0,0,2,12677
4,2,2,610,1,0,6,2,15147
6,0,0,160,0,0,4,1,4668
2,2,2,715,1,0,3,1,15554
3,0,0,160,0,0,2,0,3971
1,4,4,85,0,0,1,2,3100
2,1,1,845,1,1,2,3,9663
1,2,2,1215,1,0,3,3,27430
0,3,3,145,0,0,3,0,3540
1,1,1,1390,2,0,1,2,10676
2,1,1,1090,1,0,4,2,13044
2,1,1,960,1,0,2,3,14388
0,0,0,170,0,0,0,0,3943
0,3,3,140,0,0,2,2,3597
1,0,0,480,1,0,3,1,5932
2,2,2,1015,1,1,5,1,10262
6,2,2,190,0,0,3,2,6216
0,1,1,165,0,0,5,3,4804
4,2,2,840,1,0,1,1,14067
2,2,2,1430,2,0,5,3,15129
2,2,2,1300,2,0,3,1,13376
1,2,2,1275,2,0,3,3,10441
2,0,0,165,0,1,4,1,4030
2,2,2,650,1,0,6,1,17024
4,2,2,480,1,0,2,2,13017
5,1,1,495,1,0,3,3,6686
0,2,2,325,1,0,5,0,5636
0,2,2,515,1,0,4,1,6442
4,2,2,710,1,0,1,2,9486
2,1,1,1655,1,1,1,3,10844
2,2,2,505,2,1,2,3,15318
1,2,2,1255,1,0,0,2,5117
0,2,2,290,1,0,0,2,6147
4,2,2,490,1,0,4,2,7005
3,1,1,140,0,0,0,3,3873
2,2,2,1465,2,1,3,3,9270
5,0,0,170,0,0,3,1,3898
2,1,1,740,1,0,3,1,14781
2,1,1,735,1,1,4,3,8586
1,1,1,1415,2,0,3,1,10697
2,2,2,995,2,0,3,3,14300
0,0,0,170,0,0,6,3,8855
2,1,1,1545,1,1,3,2,10844
2,2,2,1570,1,0,0,0,17024
2,1,1,1730,1,1,5,1,9314
0,0,0,165,0,0,6,0,4777
1,1,1,1515,1,0,4,2,7662
0,2,2,560,1,0,3,1,6442
3,2,2,270,1,0,4,1,5264
2,2,2,925,1,1,0,2,12898
1,4,4,90,0,0,6,2,6092
3,0,0,160,0,0,1,0,3311
2,2,2,550,1,1,2,3,6540
0,0,0,165,0,0,0,0,3419
2,2,2,1355,1,1,0,2,5177
1,2,2,185,0,0,3,3,8246
2,1,1,690,1,0,4,1,14676
4,2,2,570,1,0,3,1,13587
2,1,1,730,1,1,2,3,9663
2,1,1,1055,1,0,4,2,13044
0,2,2,305,1,0,0,3,5073
6,1,1,1550,1,0,1,2,9345
2,1,1,1200,1,1,2,2,9663
4,2,2,780,1,0,1,1,14277
2,2,2,1105,1,1,6,1,10262
2,4,4,90,0,0,2,3,5678
4,2,2,570,1,0,2,2,13727
2,1,1,960,1,1,2,3,9663
0,3,3,140,0,0,3,2,3858
3,2,2,270,1,0,0,1,4812
0,2,2,345,1,0,3,3,5775
2,1,1,1450,1,1,3,1,10539
0,1,1,155,0,0,2,2,4804
7,0,0,165,0,0,4,1,3383
0,0,0,295,1,0,6,2,8738
1,2,2,1535,1,0,2,0,7165
0,2,2,380,1,0,0,2,6412
2,0,0,185,0,0,3,3,8016
2,0,0,1120,1,1,1,3,11087
3,3,3,135,0,2,3,1,3543
2,1,1,730,1,0,4,2,12471
2,2,2,1165,1,1,0,1,10262
1,0,0,170,0,0,0,2,4441
4,2,2,505,1,0,2,1,12537
5,1,1,555,1,0,6,3,10091
1,0,0,170,0,0,2,3,6961
0,2,2,195,0,0,2,0,5013
1,2,2,170,0,0,5,0,6934
4,2,2,740,1,0,2,1,10877
2,0,0,175,0,0,3,2,7229
0,2,2,575,1,0,2,2,7048
6,0,0,155,0,0,3,2,4878
2,1,1,570,1,1,1,2,10844
2,2,2,1760,2,0,5,3,15129
0,0,0,175,0,0,3,0,3943
3,2,2,315,1,0,3,1,5583
4,2,2,545,1,0,3,1,9646
4,2,2,645,1,0,2,1,7677
0,2,2,295,1,0,6,0,6842
2,4,4,90,0,1,0,1,4995
6,1,1,700,1,0,4,1,9555
0,0,0,165,0,0,6,0,4077
2,0,0,175,0,0,3,2,7229
4,2,2,600,1,0,4,1,12192
1,0,0,165,0,0,2,1,5911
1,2,2,615,1,0,4,1,8372
2,4,4,85,0,1,0,1,4995
4,2,2,555,1,0,3,1,14323
2,2,2,1375,2,0,4,0,13014
1,2,2,1730,2,0,3,2,13591
2,2,2,2245,2,0,6,0,18799
0,0,0,170,0,0,5,3,3943
3,4,4,90,0,2,1,0,1965
2,4,4,90,0,1,0,1,4995
1,1,1,1540,1,0,6,2,14641
1,1,1,155,0,0,2,3,4460
1,2,2,375,1,0,5,2,10191
2,2,2,1050,1,1,1,0,13843
0,2,2,345,1,0,5,3,6349
7,1,1,155,0,0,5,1,4409
2,2,2,1530,1,0,0,3,17024
4,2,2,835,1,0,5,1,13727
0,0,0,175,0,0,4,3,8855
4,2,2,615,1,0,0,1,12524
2,0,0,520,1,0,0,1,13555
2,1,1,330,1,1,3,1,10844
4,2,2,720,1,0,4,1,13587
3,3,3,135,0,2,4,1,3543
6,3,3,135,0,0,0,1,4842
0,0,0,170,0,0,2,3,3943
2,2,2,550,1,1,4,3,10577
0,2,2,625,1,0,2,1,6979
6,3,3,140,0,0,3,2,11982
